"train/global_step","grpo_vastai_20260220_001219 - train/reward","grpo_vastai_20260220_001219 - train/reward__MIN","grpo_vastai_20260220_001219 - train/reward__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"139","-0.323164701461792","-0.323164701461792","-0.323164701461792","1666","1666","1666"
"140","0.1382615566253662","0.1382615566253662","0.1382615566253662","1678","1678","1678"
"141","-0.21965189278125763","-0.21965189278125763","-0.21965189278125763","1690","1690","1690"
"142","-0.2327008843421936","-0.2327008843421936","-0.2327008843421936","1702","1702","1702"
"143","-0.0947420746088028","-0.0947420746088028","-0.0947420746088028","1714","1714","1714"
"144","-0.005084320902824402","-0.005084320902824402","-0.005084320902824402","1726","1726","1726"
"145","-0.15727023780345917","-0.15727023780345917","-0.15727023780345917","1738","1738","1738"
"146","0.18633076548576355","0.18633076548576355","0.18633076548576355","1750","1750","1750"
"147","-0.1773933619260788","-0.1773933619260788","-0.1773933619260788","1762","1762","1762"
"148","2.4497768878936768","2.4497768878936768","2.4497768878936768","1774","1774","1774"
"149","-0.4026537835597992","-0.4026537835597992","-0.4026537835597992","1786","1786","1786"
"150","-0.11734694987535477","-0.11734694987535477","-0.11734694987535477","1798","1798","1798"
"151","-0.0833333358168602","-0.0833333358168602","-0.0833333358168602","1810","1810","1810"
"152","0.005208313465118408","0.005208313465118408","0.005208313465118408","1822","1822","1822"
"153","-0.1011904776096344","-0.1011904776096344","-0.1011904776096344","1834","1834","1834"
"154","2.4393601417541504","2.4393601417541504","2.4393601417541504","1846","1846","1846"
"155","-0.4546130895614624","-0.4546130895614624","-0.4546130895614624","1858","1858","1858"
"156","-0.327132910490036","-0.327132910490036","-0.327132910490036","1870","1870","1870"
"157","-0.3008996248245239","-0.3008996248245239","-0.3008996248245239","1882","1882","1882"
"158","-0.3841193616390228","-0.3841193616390228","-0.3841193616390228","1894","1894","1894"
